status,ngrams,entropy,entropyRelative,vowel-cons,firstDigitIndex,length,digits,ip,special,port,subdomain,shortening,abnormal
0,1021.596811096811,3.787042812031905,1.2216032858299195,0.36363636363636365,0,37,0,0,1,0,4,0,0
1,1043.3702764486977,4.419864470453802,0.7926746153641194,0.8275862068965517,33,77,17,0,1,0,2,0,0
1,898.07498583376,4.753412094896157,1.1178122325987816,0.5172413793103449,63,126,19,0,1,0,5,0,0
0,979.6674836601309,3.461320140211008,1.919763136654139,0.3,0,18,0,0,1,0,3,0,1
0,1079.6803549118015,4.097662278358699,1.7786138097138138,0.36363636363636365,0,55,0,0,1,0,3,0,0
1,1019.6382392473118,3.6665301730294653,1.7674317934216566,0.5,0,32,0,0,1,0,4,0,0
0,719.9512097236556,3.260828171224455,2.465576186231271,0.4,0,19,0,0,1,0,3,0,0
1,813.0691286398918,4.771112319170577,0.7926746153641194,0.40540540540540543,37,81,21,0,1,0,3,0,0
0,1198.2227351916376,4.195539744052798,0.8312228517705365,0.6363636363636364,0,42,0,0,1,0,3,1,1
0,1119.1290721541293,4.481455590414628,1.9214692850748376,0.5918367346938775,20,104,8,0,1,0,2,0,0
0,1078.8656605739939,4.344566583470219,0.7562159301445607,0.5666666666666667,0,56,0,0,1,0,4,0,0
0,739.4508008535234,4.286275219617123,2.04287391805526,0.3,35,43,8,0,1,0,3,0,0
0,1111.5857395254004,4.281211648465453,1.7075842017537204,0.5227272727272727,35,83,1,0,1,0,2,0,0
1,945.8422568285749,3.8488846166291193,2.5804746130596428,0.35294117647058826,20,31,2,0,1,0,3,0,0
0,841.6873913043478,3.7532696895151076,1.9194343821482216,0.26666666666666666,0,25,0,0,1,0,3,0,0
1,1045.976171802054,4.444401999165797,3.060938493903999,0.48148148148148145,36,51,1,0,1,0,4,0,1
0,1009.5602150537634,3.7843684875968617,1.6764926034347263,0.3157894736842105,0,31,0,0,1,0,3,1,0
1,1141.2445521541952,4.174177320667443,2.021262416074956,0.6956521739130435,40,50,3,0,1,0,3,0,0
1,938.5574680629828,4.0796786498829745,0.7236142072640073,0.22727272727272727,0,34,0,0,1,0,3,0,0
0,651.7738651471985,4.032303242743954,2.7371795851428558,0.3076923076923077,12,27,4,0,1,0,3,0,0
0,1113.6324234259191,4.075590044566195,2.2924457287433637,0.42857142857142855,0,63,0,0,1,0,4,0,1
0,1131.0137116355866,4.2980550138102505,2.1882820143015387,0.4473684210526316,0,66,0,0,1,0,3,1,0
